what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351085159
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351090504
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328351090522
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328351093865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351094107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351097876
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351127653
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328351129250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351129256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351197139
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1328351200267
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328351201361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351209171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351211994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351215836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351222855
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351229165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351231138
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351239055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351255857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351262251
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351276713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351284067
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1328351286431
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328351291479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351294128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351303794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351304842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351330710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351336715
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328351338651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351349248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351363094
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351367141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351367278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351371046
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328351374348
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351383009
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351461290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351461855
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351463698
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328351469464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351472300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351473355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351474951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351475676
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328351476701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351486812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351488513
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351505342
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351506589
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351676108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351691777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351723637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351738333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351740001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351750662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351756922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351765107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351770231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351770625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351787367
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351825345
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351827100
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351830731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351838240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351838862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351851373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351853889
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351915708
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328351921073
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351940131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351942189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351949083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328351983411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351986270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328351997535
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328351997548
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328351999517
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328352043950
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352045590
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352045728
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328352047077
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328352049841
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352062772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352066383
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328352070396
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328352114380
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328352120691
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352122677
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352274068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352278073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352400134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352401264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352408279
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328352410753
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1328352443036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352444764
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352502807
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328352502823
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328352502849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352504604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352507246
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328352507263
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328352509063
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328352515047
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328352519524
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328352519643
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328352522733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328352524502
