what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329351106093
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351121755
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351135667
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329351140358
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351141155
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351141482
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351166671
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351166672
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329351190868
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351191381
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351191621
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351193076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329351200390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329351200554
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351206629
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329351210291
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1329351210377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329351221195
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329351249976
opened,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351250437
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351250657
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351276367
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329351293687
opened,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351294175
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351294404
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351301279
closed,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351301280
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351318918
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351325197
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351351424
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351360517
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329351369746
opened,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351370270
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351370523
closed,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351372293
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351387269
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329351393251
opened,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351393587
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351393822
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351411709
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351420993
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351423619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329351427279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329351427423
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351428123
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351432836
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351447452
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351467542
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351475945
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351478835
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351480201
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351483760
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351491116
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351526904
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351533410
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351538745
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351540417
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351545482
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351548006
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351550253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329351621295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329351669178
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329351679921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329351695053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329351695848
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329351830978
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329351836576
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1329352021728
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1329352058343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329352061934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329352062101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329352070626
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329352070789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329352075897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329352076071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329352078082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329352078227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329352081098
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329352081225
