what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340601010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340614140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328340619406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328340622882
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340623718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340630902
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1328340635992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1328340648703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328340649341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340650065
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340668865
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328340669268
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328340670129
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328340671474
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340672272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340698046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340708785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340759128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328340781705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340783183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340802348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328340804500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340805812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328340813342
