what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345833370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345834342
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345838766
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328345850297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345851278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345861935
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328345864549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345865393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328346568668
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1328346571856
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328346589293
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1328346605160
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1328346610558
started,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1328346610748
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1328346611488
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1328346612802
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1328346612880
error,log,,,"Project facet wst.web has not been defined. It is used in plugin org.eclipse.jst.common.project.facet.core.",1328346613154
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1328346613286
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1328346613784
opened,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.cssResourceEditor",1328346613961
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.cssResourceEditor",1328346614305
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328346617981
closed,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.cssResourceEditor",1328346617981
opened,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1328346621734
activated,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1328346621919
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328346622651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328346623902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328346776380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328346797637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328346952202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328346973934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347238008
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1328347243120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347259347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347282377
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347303505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347312329
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328347315899
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328347373428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347379573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347394231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347419445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347419627
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1328347435298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347440363
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347445990
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347447332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347492018
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328347576220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328347597654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347599445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347615861
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347616900
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347620328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347620342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347623728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347623741
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347623754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347624980
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347628585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347631881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347636481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347640185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347644220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347645347
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347650020
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347650033
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347654701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347654715
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347654729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347654744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347654756
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347654768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347659620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347664982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347670724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347789306
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347795655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347798394
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347803644
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347808213
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347808226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347831459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347850794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347864559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347876730
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347881636
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347881653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347886212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347886224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347886236
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347886249
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328347886261
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328347916204
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347917822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347960894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347979947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347985223
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328347986417
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1328347990494
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328347991872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347995381
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328347997107
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328347998603
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328348029960
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348031366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348061067
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348067090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348088494
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348096012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348107444
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348109771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348190971
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328348208731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348210374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348333261
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328348336413
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328348348251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348364163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348380040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348384712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348447553
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328348455512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348456612
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348611625
activated,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1328348613967
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348626878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1328348626984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348632255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348632981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348879251
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1328348880105
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348908607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348993016
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328348994570
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349005000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349007246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349008073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349029926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349034003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349041239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349052538
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349125276
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1328349128247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349134575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349137762
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328349140638
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349150969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349151746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349166686
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349171349
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349175856
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349176334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349185559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328349188044
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349192083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349192734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349204737
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328349208789
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349209677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349211382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349251587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328349253759
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328349255748
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349257018
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349258509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349342835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349343298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349359341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349387930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349482132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349514382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349536664
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349537669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349550828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1328349553880
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328349557427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328349557434
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328349560580
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328349560993
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328349561133
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349570522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349571821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349583744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349587586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349589089
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349633898
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1328349643129
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328349646725
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349648333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349648961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349684602
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349715086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349716080
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349858661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349872647
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349873250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349883590
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349891277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349892187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349899641
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349901764
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349940387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349952848
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349952889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349952895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349989455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350068641
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328350081345
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328350085058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350085699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350105111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350111727
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350119824
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350130513
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350137065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350138259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350139344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328350144771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350145393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350178228
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328350197075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350201446
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350224174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328350232613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350239496
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350250733
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328350257305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350262104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350274785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350279422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328350281998
