what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1328303539631
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1328303553942
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1328303554140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328303571247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328303574214
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328303577893
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328303586238
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328303586936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328303588130
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1328303588567
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328303594785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328303597269
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328303599511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328303599999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328303600889
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328303604683
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328303604698
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328303606695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328303613679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328303614625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328303625679
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328303626402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328303627509
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328303627525
