what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328327499248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328327512668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328327517319
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328327524612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328327529585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328327531057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328327568740
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328327578212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328327579552
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328327587501
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328327616653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328327617703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328327623098
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328327624423
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328327628149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328327628258
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328327629714
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328327631028
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328327631147
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328327632166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328327633246
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328327653852
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328327658472
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328327669101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328327671315
