what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343016433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343022376
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1328343022482
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328343029067
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328343038107
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343038122
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343071930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343079910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343123940
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328343134502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343136200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343149504
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328343151857
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328343153921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343157190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343218508
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1328343218642
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328343224457
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328343231096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343234034
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343268539
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328343271192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328343323209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343325180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343342838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343358942
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343363765
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328343364433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343365294
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343378919
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343384487
